Designator,Mid X,Mid Y,Layer,Rotation
D1,-75.3mm,61.025mm,Bottom,90.0
D2,-77.8mm,61.025mm,Bottom,90.0
D3,-83.3mm,61.025mm,Bottom,90.0
D4,-85.8mm,60.875mm,Bottom,90.0
F5,-84.3mm,64.375mm,Bottom,180.0
F6,-75.8mm,64.375mm,Bottom,180.0
F7,-67.8mm,64.375mm,Bottom,180.0
F8,-59.3mm,64.375mm,Bottom,180.0
F9,-51.3mm,64.375mm,Bottom,180.0
F10,-43.3mm,64.375mm,Bottom,180.0
R2,-35.8mm,74.375mm,Bottom,0.0
R3,-35.8mm,72.875mm,Bottom,180.0
R13,-51.8mm,56.875mm,Bottom,90.0
R14,-54.8mm,56.875mm,Bottom,90.0
R16,-77.3mm,56.875mm,Bottom,90.0
R17,-84.3mm,66.375mm,Bottom,0.0
R18,-75.8mm,66.375mm,Bottom,0.0
R19,-67.8mm,66.375mm,Bottom,0.0
R20,-83.8mm,71.3375mm,Bottom,90.0
R21,-75.8mm,71.4125mm,Bottom,90.0
R22,-67.8mm,71.375mm,Bottom,90.0
R23,-59.3mm,66.375mm,Bottom,0.0
R24,-51.3mm,66.375mm,Bottom,0.0
R25,-43.3mm,66.375mm,Bottom,0.0
R26,-59.3mm,71.375mm,Bottom,90.0
R27,-51.3mm,71.375mm,Bottom,90.0
R28,-43.105mm,71.375mm,Bottom,90.0
R29,-59.3mm,56.875mm,Bottom,90.0
R30,-65.3mm,56.875mm,Bottom,90.0
R31,-71.3mm,56.875mm,Bottom,90.0
R32,-62.3mm,56.875mm,Bottom,90.0
R33,-68.3mm,56.875mm,Bottom,90.0
R34,-74.3mm,56.875mm,Bottom,90.0
R35,-56.3mm,56.875mm,Bottom,90.0
R36,-53.3mm,56.875mm,Bottom,90.0
R37,-83.3mm,56.875mm,Bottom,90.0
R38,-80.3mm,56.875mm,Bottom,90.0
R39,-86.3mm,56.875mm,Bottom,90.0
R40,-22.8mm,24.375mm,Bottom,90.0
R41,-25.8mm,24.375mm,Bottom,90.0
R42,-81.8mm,56.875mm,Bottom,90.0
R43,-84.8mm,56.875mm,Bottom,90.0
R44,-75.8mm,56.875mm,Bottom,90.0
R45,-78.8mm,56.875mm,Bottom,90.0
R46,-57.8mm,56.875mm,Bottom,90.0
R47,-60.8mm,56.875mm,Bottom,90.0
R48,-63.8mm,56.875mm,Bottom,90.0
R49,-66.8mm,56.875mm,Bottom,90.0
R50,-69.8mm,56.875mm,Bottom,90.0
R51,-72.8mm,56.875mm,Bottom,90.0
R52,-21.3mm,24.375mm,Bottom,90.0
R53,-24.3mm,24.375mm,Bottom,90.0
C28,38.090001mm,70.875mm,Top,0.0
C29,35.8mm,63.375mm,Top,180.0
C30,36.009999mm,69.875mm,Top,180.0
C31,34.8mm,59.375mm,Top,90.0
C32,33.3mm,59.375mm,Top,90.0
D5,152.3mm,83.375mm,Top,90.0
D6,35.8mm,66.375mm,Top,90.0
F1,30.8mm,72.875mm,Top,270.0
F2,33.3mm,72.875mm,Top,270.0
F3,115.8mm,51.375mm,Top,180.0
J21,35.3mm,14.725mm,Top,0.0
J22,51.8mm,16.725mm,Top,90.0
L1,36.3mm,74.375mm,Top,270.0
L2,38.3mm,74.375mm,Top,270.0
P1,149.102mm,41.268mm,Top,180.0
Q1,84.08mm,70.44mm,Top,270.0
Q2,75.885mm,70.44mm,Top,270.0
Q3,67.69mm,70.44mm,Top,270.0
Q4,59.495mm,70.44mm,Top,270.0
Q5,51.3mm,70.44mm,Top,270.0
Q6,43.105mm,70.44mm,Top,270.0
Q7,143.3mm,76.875mm,Top,270.0
R1,109.8mm,70.375mm,Top,90.0
R4,52.8mm,25.424999mm,Top,270.0
R5,96.3mm,58.075mm,Top,270.0
R6,94.3mm,58.075mm,Top,270.0
R7,104.3mm,57.875mm,Top,0.0
R8,104.3mm,54.875mm,Top,0.0
R9,104.3mm,51.875mm,Top,0.0
R10,100.8mm,57.875mm,Top,0.0
R11,100.8mm,54.875mm,Top,0.0
R12,100.8mm,51.875mm,Top,0.0
R15,143.3mm,72.875mm,Top,0.0
R54,146.3mm,76.875mm,Top,270.0
U3,76.8mm,58.875mm,Top,0.0
U4,55.8mm,58.875mm,Top,0.0
U5,62.3mm,58.875mm,Top,0.0
U6,69.435mm,58.875mm,Top,0.0
U7,48.395mm,58.875mm,Top,0.0
U8,38.8mm,57.875mm,Top,180.0
U9,84.3mm,58.875mm,Top,0.0
U10,144.3mm,86.215mm,Top,90.0
U11,23.8mm,30.375mm,Top,0.0
C821,119.965mm,61.910008000000005mm,Bottom,270.0
C822,118.16499999999999mm,61.910008000000005mm,Bottom,270.0
C823,116.365mm,61.910008000000005mm,Bottom,270.0
C824,114.565mm,61.910008000000005mm,Bottom,270.0
C825,112.765mm,61.910008000000005mm,Bottom,270.0
C826,119.965mm,65.710008mm,Bottom,90.0
C827,118.16499999999999mm,65.710008mm,Bottom,90.0
C828,116.365mm,65.710008mm,Bottom,90.0
C829,114.565mm,65.710008mm,Bottom,90.0
C830,112.765mm,65.710008mm,Bottom,90.0
C831,118.66499999999999mm,57.410000000000004mm,Bottom,0.0
C832,118.66499999999999mm,58.910000000000004mm,Bottom,0.0
C833,119.19mm,68.610008mm,Bottom,0.0
R821,115.66499999999999mm,58.910000000000004mm,Bottom,180.0
R822,112.66499999999999mm,58.910000000000004mm,Bottom,0.0
U821,116.365mm,63.810008mm,Top,90.0
R430,37.687502mm,24.506663mm,Top,180.0
