Comment,Designator,Footprint,LCSC Part #
"VNLD5160TR-E","U11","SO8",""
"BTS6143D","U10","TO-252-4",""
"VNLD5160TR-E","U9","SO8",""
"MAX31855KASA","U8","SO8",""
"VNLD5160TR-E","U7","SO8",""
"VNLD5160TR-E","U6","SO8",""
"VNLD5160TR-E","U5","SO8",""
"VNLD5160TR-E","U4","SO8",""
"VNLD5160TR-E","U3","SO8",""
"1k","R54","R0603",""
"4.7k","R53","R0603",""
"4.7k","R52","R0603",""
"4.7k","R51","R0603",""
"4.7k","R50","R0603",""
"4.7k","R49","R0603",""
"4.7k","R48","R0603",""
"4.7k","R47","R0603",""
"4.7k","R46","R0603",""
"4.7k","R45","R0603",""
"4.7k","R44","R0603",""
"4.7k","R43","R0603",""
"4.7k","R42","R0603",""
"4.7k","R41","R0603",""
"4.7k","R40","R0603",""
"4.7k","R39","R0603",""
"4.7k","R38","R0603",""
"4.7k","R37","R0603",""
"4.7k","R36","R0603",""
"4.7k","R35","R0603",""
"4.7k","R34","R0603",""
"4.7k","R33","R0603",""
"4.7k","R32","R0603",""
"4.7k","R31","R0603",""
"4.7k","R30","R0603",""
"4.7k","R29","R0603",""
"0","R28","R2512",""
"0","R27","R2512",""
"0","R26","R2512",""
"22","R25","R0603",""
"22","R24","R0603",""
"22","R23","R0603",""
"0","R22","R2512",""
"0","R21","R2512",""
"0","R20","R2512",""
"22","R19","R0603",""
"22","R18","R0603",""
"22","R17","R0603",""
"4.7k","R16","R0603",""
"4.7k","R15","R0603",""
"4.7k","R14","R0603",""
"4.7k","R13","R0603",""
"10k","R12","R0805",""
"10k","R11","R0805",""
"10k","R10","R0805",""
"DNP","R9","R0805",""
"DNP","R8","R0805",""
"DNP","R7","R0805",""
"0","R6","R0603",""
"0","R5","R0603",""
"Jumper-Pad-Pad","R4","PAD-0805-PAD",""
"6.8k","R3","R0603",""
"33k","R2","R0603",""
"4.7k","R1","R0603",""
"AO3400A","Q7","SOT-23",""
"ISL9V3040D3ST","Q6","DPAK",""
"ISL9V3040D3ST","Q5","DPAK",""
"ISL9V3040D3ST","Q4","DPAK",""
"ISL9V3040D3ST","Q3","DPAK",""
"ISL9V3040D3ST","Q2","DPAK",""
"ISL9V3040D3ST","Q1","DPAK",""
"368255-2","P1","368255-2",""
"Module:can/0.1","M7","can",""
"Module:mega-mcu100/0.3","M6","mega-mcu100",""
"Module:wbo/0.5","M5","wbo",""
"Module:vr-max9924/0.1","M4","vr-max9924",""
"Module:vr-discrete/0.5","M3","vr-discrete",""
"Module:knock/0.2","M2","knock",""
"Module:power_12and5V/0.3","M1","power_12and5V",""
"470R@100MHz","L2","L_0603_1608Metric",""
"470R@100MHz","L1","L_0603_1608Metric",""
"USB_B_Mini","J22","USB-MINI-B-VERTICAL",""
"Conn_01x05_Male","J21","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",""
"50mA","F10","Fuse_0603_1608Metric",""
"50mA","F9","Fuse_0603_1608Metric",""
"50mA","F8","Fuse_0603_1608Metric",""
"50mA","F7","Fuse_0603_1608Metric",""
"50mA","F6","Fuse_0603_1608Metric",""
"50mA","F5","Fuse_0603_1608Metric",""
"12H1500D","F3","PAD-1206-PAD",""
"12H1500D","F2","PAD-1206-PAD",""
"12H1500D","F1","PAD-1206-PAD",""
"NUP2105L","D6","SOT-23",""
"SS34","D5","D_SMA",""
"B5819W","D4","SOD-123",""
"B5819W","D3","SOD-123",""
"B5819W","D2","SOD-123",""
"B5819W","D1","SOD-123",""
"1u","C32","C0603",""
"100n","C31","C0603",""
"10n","C30","C0603",""
"100n","C29","C0603",""
"10n","C28","C0603",""
