Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D1,-86.725mm,56.125000mm,Bottom,-90.0,-86.725mm,56.125000mm
D2,-84.225mm,56.125000mm,Bottom,-90.0,-84.225mm,56.125000mm
D3,-78.725mm,56.125000mm,Bottom,-90.0,-78.725mm,56.125000mm
D4,-76.225mm,56.275000mm,Bottom,-90.0,-76.225mm,56.275000mm
F5,-77.725mm,52.775000mm,Bottom,0.0,-77.725mm,52.775000mm
F6,-86.225mm,52.775000mm,Bottom,0.0,-86.225mm,52.775000mm
F7,-94.225mm,52.775000mm,Bottom,0.0,-94.225mm,52.775000mm
F8,-102.725mm,52.775000mm,Bottom,0.0,-102.725mm,52.775000mm
F9,-110.725mm,52.775000mm,Bottom,0.0,-110.725mm,52.775000mm
F10,-118.725mm,52.775000mm,Bottom,0.0,-118.725mm,52.775000mm
R2,-126.225mm,42.775000mm,Bottom,180.0,-126.225mm,42.775000mm
R3,-126.225mm,44.275000mm,Bottom,0.0,-126.225mm,44.275000mm
R13,-110.225mm,60.275000mm,Bottom,-90.0,-110.225mm,60.275000mm
R14,-107.225mm,60.275000mm,Bottom,-90.0,-107.225mm,60.275000mm
R16,-84.725mm,60.275000mm,Bottom,-90.0,-84.725mm,60.275000mm
R17,-77.725mm,50.775000mm,Bottom,180.0,-77.725mm,50.775000mm
R18,-86.225mm,50.775000mm,Bottom,180.0,-86.225mm,50.775000mm
R19,-94.225mm,50.775000mm,Bottom,180.0,-94.225mm,50.775000mm
R20,-78.225mm,45.812500mm,Bottom,-90.0,-78.225mm,45.812500mm
R21,-86.225mm,45.737500mm,Bottom,-90.0,-86.225mm,45.737500mm
R22,-94.225mm,45.775000mm,Bottom,-90.0,-94.225mm,45.775000mm
R23,-102.725mm,50.775000mm,Bottom,180.0,-102.725mm,50.775000mm
R24,-110.725mm,50.775000mm,Bottom,180.0,-110.725mm,50.775000mm
R25,-118.725mm,50.775000mm,Bottom,180.0,-118.725mm,50.775000mm
R26,-102.725mm,45.775000mm,Bottom,-90.0,-102.725mm,45.775000mm
R27,-110.725mm,45.775000mm,Bottom,-90.0,-110.725mm,45.775000mm
R28,-118.92mm,45.775000mm,Bottom,-90.0,-118.92mm,45.775000mm
R29,-102.725mm,60.275000mm,Bottom,-90.0,-102.725mm,60.275000mm
R30,-96.725mm,60.275000mm,Bottom,-90.0,-96.725mm,60.275000mm
R31,-90.725mm,60.275000mm,Bottom,-90.0,-90.725mm,60.275000mm
R32,-99.725mm,60.275000mm,Bottom,-90.0,-99.725mm,60.275000mm
R33,-93.725mm,60.275000mm,Bottom,-90.0,-93.725mm,60.275000mm
R34,-87.725mm,60.275000mm,Bottom,-90.0,-87.725mm,60.275000mm
R35,-105.725mm,60.275000mm,Bottom,-90.0,-105.725mm,60.275000mm
R36,-108.725mm,60.275000mm,Bottom,-90.0,-108.725mm,60.275000mm
R37,-78.725mm,60.275000mm,Bottom,-90.0,-78.725mm,60.275000mm
R38,-81.725mm,60.275000mm,Bottom,-90.0,-81.725mm,60.275000mm
R39,-75.725mm,60.275000mm,Bottom,-90.0,-75.725mm,60.275000mm
R40,-139.225mm,92.775000mm,Bottom,-90.0,-139.225mm,92.775000mm
R41,-136.225mm,92.775000mm,Bottom,-90.0,-136.225mm,92.775000mm
R42,-80.225mm,60.275000mm,Bottom,-90.0,-80.225mm,60.275000mm
R43,-77.225mm,60.275000mm,Bottom,-90.0,-77.225mm,60.275000mm
R44,-86.225mm,60.275000mm,Bottom,-90.0,-86.225mm,60.275000mm
R45,-83.225mm,60.275000mm,Bottom,-90.0,-83.225mm,60.275000mm
R46,-104.225mm,60.275000mm,Bottom,-90.0,-104.225mm,60.275000mm
R47,-101.225mm,60.275000mm,Bottom,-90.0,-101.225mm,60.275000mm
R48,-98.225mm,60.275000mm,Bottom,-90.0,-98.225mm,60.275000mm
R49,-95.225mm,60.275000mm,Bottom,-90.0,-95.225mm,60.275000mm
R50,-92.225mm,60.275000mm,Bottom,-90.0,-92.225mm,60.275000mm
R51,-89.225mm,60.275000mm,Bottom,-90.0,-89.225mm,60.275000mm
R52,-140.725mm,92.775000mm,Bottom,-90.0,-140.725mm,92.775000mm
R53,-137.725mm,92.775000mm,Bottom,-90.0,-137.725mm,92.775000mm
