Ref,Val,Package,PosX,PosY,Rot,Side
"D1","B5819W","SOD-123",86.725000,56.125000,-90.000000,bottom
"D2","B5819W","SOD-123",84.225000,56.125000,-90.000000,bottom
"D3","B5819W","SOD-123",78.725000,56.125000,-90.000000,bottom
"D4","B5819W","SOD-123",76.225000,56.275000,-90.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",77.725000,52.775000,0.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",86.225000,52.775000,0.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",94.225000,52.775000,0.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",102.725000,52.775000,0.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",110.725000,52.775000,0.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",118.725000,52.775000,0.000000,bottom
"R2","33k","R0603",126.225000,42.775000,180.000000,bottom
"R3","6.8k","R0603",126.225000,44.275000,0.000000,bottom
"R13","4.7k","R0603",110.225000,60.275000,-90.000000,bottom
"R14","4.7k","R0603",107.225000,60.275000,-90.000000,bottom
"R16","4.7k","R0603",84.725000,60.275000,-90.000000,bottom
"R17","22","R0603",77.725000,50.775000,180.000000,bottom
"R18","22","R0603",86.225000,50.775000,180.000000,bottom
"R19","22","R0603",94.225000,50.775000,180.000000,bottom
"R20","0","R_2512_6332Metric",78.225000,45.812500,-90.000000,bottom
"R21","0","R_2512_6332Metric",86.225000,45.737500,-90.000000,bottom
"R22","0","R_2512_6332Metric",94.225000,45.775000,-90.000000,bottom
"R23","22","R0603",102.725000,50.775000,180.000000,bottom
"R24","22","R0603",110.725000,50.775000,180.000000,bottom
"R25","22","R0603",118.725000,50.775000,180.000000,bottom
"R26","0","R_2512_6332Metric",102.725000,45.775000,-90.000000,bottom
"R27","0","R_2512_6332Metric",110.725000,45.775000,-90.000000,bottom
"R28","0","R_2512_6332Metric",118.920000,45.775000,-90.000000,bottom
"R29","4.7k","R0603",102.725000,60.275000,-90.000000,bottom
"R30","4.7k","R0603",96.725000,60.275000,-90.000000,bottom
"R31","4.7k","R0603",90.725000,60.275000,-90.000000,bottom
"R32","4.7k","R0603",99.725000,60.275000,-90.000000,bottom
"R33","4.7k","R0603",93.725000,60.275000,-90.000000,bottom
"R34","4.7k","R0603",87.725000,60.275000,-90.000000,bottom
"R35","4.7k","R0603",105.725000,60.275000,-90.000000,bottom
"R36","4.7k","R0603",108.725000,60.275000,-90.000000,bottom
"R37","4.7k","R0603",78.725000,60.275000,-90.000000,bottom
"R38","4.7k","R0603",81.725000,60.275000,-90.000000,bottom
"R39","4.7k","R0603",75.725000,60.275000,-90.000000,bottom
"R40","4.7k","R0603",139.225000,92.775000,-90.000000,bottom
"R41","4.7k","R0603",136.225000,92.775000,-90.000000,bottom
"R42","4.7k","R0603",80.225000,60.275000,-90.000000,bottom
"R43","4.7k","R0603",77.225000,60.275000,-90.000000,bottom
"R44","4.7k","R0603",86.225000,60.275000,-90.000000,bottom
"R45","4.7k","R0603",83.225000,60.275000,-90.000000,bottom
"R46","4.7k","R0603",104.225000,60.275000,-90.000000,bottom
"R47","4.7k","R0603",101.225000,60.275000,-90.000000,bottom
"R48","4.7k","R0603",98.225000,60.275000,-90.000000,bottom
"R49","4.7k","R0603",95.225000,60.275000,-90.000000,bottom
"R50","4.7k","R0603",92.225000,60.275000,-90.000000,bottom
"R51","4.7k","R0603",89.225000,60.275000,-90.000000,bottom
